,Vehicle_ID,Model,Asking_Price,Miles_Driven,Exterior_Color,Interior_Color,Listing_Location
0,/used-cars-for-sale/listing/WAUKJAFM7BA042214/2011-audi-a3/,2011 Audi A3 Premium Plus Hatchback 2.0 TDI FrontTrak S tronic,"$8,599","33,767 miles",Exterior: Ice Silver Metallic,Interior: Luxor Beige,"Distance: 1,964 mi. - Fullerton, CA"
1,/used-cars-for-sale/listing/WAUKJAFM9DA029435/2013-audi-a3/,2013 Audi A3 Premium Plus 2.0 TDI Hatchback FrontTrak S tronic,"$8,499","54,463 miles",Exterior: Scuba Blue Metallic,Interior: Black,"Distance: 1,964 mi. - Fullerton, CA"
2,/used-cars-for-sale/listing/WAUBJAFM7CA044496/2012-audi-a3/,2012 Audi A3 Premium Hatchback 2.0 TDI FrontTrak S tronic FWD,"$6,995","66,064 miles",Exterior: Brilliant Black,Interior: Unknown,"Distance: 195 mi. - Columbus, OH"
3,/used-cars-for-sale/listing/WAUACGFF8F1012638/2015-audi-a3/,2015 Audi A3 Premium Sedan 1.8T FWD,"$12,999","23,191 miles",Exterior: Ice Silver Metallic,Interior: Black,"Distance: 627 mi. - Atlanta, GA"
4,/used-cars-for-sale/listing/WAUEFAFL5AN021228/2010-audi-a4/,2010 Audi A4 Premium Plus Sedan 2.0T FrontTrak CVT,"$2,995","102,719 miles",Exterior: Phantom Black Pearl,Interior: Black,"Distance: 869 mi. - Jacksonville, FL"
5,/used-cars-for-sale/listing/WAUDH48H78K007858/2008-audi-a4/,2008 Audi A4 Cabriolet 3.2L quattro Automatic,"$6,990","37,835 miles",Exterior: Dolphin Gray Metallic,Interior: Light Gray,"Distance: 1,964 mi. - Fullerton, CA"
6,/used-cars-for-sale/listing/WAUBJBFM4CA146005/2012-audi-a3/,2012 Audi A3 Premium Hatchback 2.0 TDI FrontTrak S tronic FWD,"$8,495","71,772 miles",Exterior: Ibis White,Interior: Luxor Beige,"Distance: 1,237 mi. - Selma, TX"
7,/used-cars-for-sale/listing/WAUB8GFF5G1064204/2016-audi-a3/,2016 Audi A3 Premium Sedan 2.0T quattro,"$14,795","16,793 miles",Exterior: Florett Silver Metallic,Interior: Black,"Distance: 1,171 mi. - Hollywood, FL"
8,/used-cars-for-sale/listing/WAUBJAFM8CA059752/2012-audi-a3/,2012 Audi A3 Premium Hatchback 2.0 TDI FrontTrak S tronic FWD,"$9,000","53,308 miles",Exterior: Grey,Interior: Black,"Distance: 866 mi. - Jacksonville, FL"
9,/used-cars-for-sale/listing/WAUAFAFL7BN031744/2011-audi-a4/,2011 Audi A4 Premium Sedan 2.0T FrontTrak CVT,"$7,998","57,170 miles",Exterior: Unknown,Interior: Unknown,"Distance: 1,966 mi. - Costa Mesa, CA"
10,/used-cars-for-sale/listing/WAUAF48H77K031388/2007-audi-a4/,2007 Audi A4 2007 Cabrio 2.0T FrontTrak CVT,"$7,972","32,603 miles",Exterior: Ibis White,Interior: Beige,"Distance: 1,169 mi. - Fort Lauderdale, FL"
11,/used-cars-for-sale/listing/WAUGFAFC2DN145809/2013-audi-a6/,2013 Audi A6 Premium Plus Sedan 2.0T quattro,"$10,900","40,500 miles",Exterior: Dakota Gray Metallic,Interior: Titanium Gray,"Distance: 530 mi. - Osseo, MN"
12,/used-cars-for-sale/listing/WAUA7GFF2G1070508/2016-audi-a3/,2016 Audi A3 Premium Sedan 1.8T FWD,"$11,991","66,033 miles",Exterior: Unknown,Interior: Black,"Distance: 616 mi. - Marietta, GA"
13,/used-cars-for-sale/listing/WAUB8GFF6G1066768/2016-audi-a3/,2016 Audi A3 Premium Sedan 2.0T quattro,"$13,499","35,960 miles",Exterior: Brilliant Black,Interior: Black,"Distance: 627 mi. - Atlanta, GA"
14,/used-cars-for-sale/listing/WAUKJAFM1BA012433/2011-audi-a3/,2011 Audi A3 Premium Plus Hatchback 2.0 TDI FrontTrak S tronic,"$7,495","66,315 miles",Exterior: Brilliant Black,Interior: Unknown,"Distance: 1,127 mi. - Houston, TX"
15,/used-cars-for-sale/listing/WAUBJAFM5DA004516/2013-audi-a3/,2013 Audi A3 Premium Hatchback 2.0 TDI FrontTrak S tronic,"$9,995","53,816 miles",Exterior: Deep Sea Blue Pearl,Interior: Light Gray,"Distance: 146 mi. - Akron, OH"
16,/used-cars-for-sale/listing/WAUKJAFM9CA054902/2012-audi-a3/,2012 Audi A3 Premium Plus Hatchback 2.0 TDI FrontTrak S tronic,"$7,999","69,082 miles",Exterior: Unknown,Interior: Unknown,"Distance: 1,979 mi. - Beverly Hills, CA"
17,/used-cars-for-sale/listing/WAUACGFFXF1139570/2015-audi-a3/,2015 Audi A3 Premium Sedan 1.8T FWD,"$13,899","25,302 miles",Exterior: Dakota Gray Metallic,Interior: Black,"Distance: 1,927 mi. - Colton, CA"
18,/used-cars-for-sale/listing/WAUAFAFLXFN021375/2015-audi-a4/,2015 Audi A4 Premium Sedan 2.0T FrontTrak CVT,"$12,289","45,872 miles",Exterior: Brilliant Black,Interior: Beige/Brown,"Distance: 1,474 mi. - Woods Cross, UT"
19,/used-cars-for-sale/listing/WAUBJAFM7DA003965/2013-audi-a3/,2013 Audi A3 Premium Hatchback 2.0 TDI FrontTrak S tronic,"$9,995","66,156 miles",Exterior: Ibis White,Interior: Black,"Distance: 2,013 mi. - Oxnard, CA"
20,/used-cars-for-sale/listing/WAUKJAFM4DA031013/2013-audi-a3/,2013 Audi A3 Premium Plus 2.0 TDI Hatchback FrontTrak S tronic,"$10,998","44,757 miles",Exterior: Ice Silver Metallic,Interior: Black,"Distance: 2,066 mi. - Richmond, CA"
21,/used-cars-for-sale/listing/WAUACGFF8F1137509/2015-audi-a3/,2015 Audi A3 Premium Sedan 1.8T FWD,"$13,995","26,086 miles",Exterior: Glacier White Metallic,Interior: Titanium Gray,"Distance: 1,126 mi. - West Palm Beach, FL"
22,/used-cars-for-sale/listing/WAULF78K19N035413/2009-audi-a4/,2009 Audi A4 Premium Sedan 2.0T quattro Automatic,"$5,999","70,985 miles",Exterior: Blue,Interior: Gray,"Distance: 588 mi. - Gainesville, GA"
23,/used-cars-for-sale/listing/WAUBJAFM0CA030648/2012-audi-a3/,2012 Audi A3 Premium Hatchback 2.0 TDI FrontTrak S tronic FWD,"$11,000","44,990 miles",Exterior: Brilliant Black,Interior: Black,"Distance: 1,674 mi. - Scottsdale, AZ"
